symbol,buy_date,earnings_date,sell_date,buy_price,sell_price,earnings_day_return,total_return,earnings_move,earnings_abs_move,earnings_volume_ratio,result,profitable
HOOD,2023-11-07,2023-11-08,2023-11-09,9.760000228881836,7.929999828338623,-14.293037141900678,-18.75000366421988,-14.293037141900678,14.293037141900678,3.927888673897719,BIG_LOSS,False
HOOD,2024-02-13,2024-02-14,2024-02-15,11.84000015258789,13.420000076293944,13.006756266945036,13.344593778241713,13.006756266945029,13.006756266945029,5.806600549862002,BIG_WIN,True
HOOD,2024-10-07,2024-10-08,2024-10-09,23.31999969482422,25.649999618530277,9.819901138487564,9.991423474260133,9.819901138487563,9.819901138487563,3.058646366885573,WIN,True
SNOW,2023-03-01,2023-03-02,2023-03-03,154.5,142.11000061035156,-12.440130239937297,-8.0194170806786,-12.440130239937297,12.440130239937297,4.1816940244407625,BIG_LOSS,False
SNOW,2023-05-24,2023-05-25,2023-05-26,177.13999938964844,150.00999450683594,-16.501070242889014,-15.315572415203418,-16.501070242889014,16.501070242889014,4.070338575075842,BIG_LOSS,False
SNOW,2023-11-06,2023-11-07,2023-11-08,144.1999969482422,158.5800018310547,10.658814633327165,9.972264346145533,10.658814633327163,10.658814633327163,3.1487276088376976,WIN,True
SNOW,2024-02-28,2024-02-29,2024-03-01,230.0,186.72000122070312,-18.139130965523098,-18.817390773607336,-18.139130965523098,18.139130965523098,5.399803209145798,BIG_LOSS,False
SNOW,2024-08-21,2024-08-22,2024-08-23,135.05999755859375,115.86000061035156,-14.697170763319074,-14.215902040063755,-14.697170763319068,14.697170763319068,4.983438457307354,BIG_LOSS,False
SNOW,2024-11-20,2024-11-21,2024-11-22,129.1199951171875,167.44000244140625,32.70601965869094,29.677825877734932,32.706019658690934,32.706019658690934,6.851301734402927,BIG_WIN,True
CRWD,2023-08-30,2023-08-31,2023-09-01,149.17999267578125,161.22999572753906,9.28409088584445,8.0774927224635,9.284090885844453,9.284090885844453,3.7099768922041596,WIN,True
CRWD,2023-11-28,2023-11-29,2023-11-30,212.3500061035156,236.9900054931641,10.40263513207638,11.603484191866272,10.402635132076377,10.402635132076377,3.8327243558551785,BIG_WIN,True
CRWD,2024-03-05,2024-03-06,2024-03-07,297.5599975585937,329.67999267578125,10.757497657030274,10.794460068800976,10.757497657030267,10.757497657030267,4.340553497822276,BIG_WIN,True
CRWD,2024-06-04,2024-06-05,2024-06-06,305.5799865722656,340.489990234375,11.977226163945854,11.424178675344507,11.977226163945854,11.977226163945854,4.221138861980373,BIG_WIN,True
CRWD,2024-07-18,2024-07-19,2024-07-22,343.04998779296875,263.9100036621094,-11.103337033458228,-23.069519588095858,-11.103337033458228,11.103337033458228,5.293931078922792,BIG_LOSS,False
CRWD,2024-07-19,2024-07-22,2024-07-23,304.9599914550781,268.8800048828125,-13.460778116205969,-11.83105573951341,-13.460778116205974,13.460778116205974,6.333120813215259,BIG_LOSS,False
CRWD,2024-09-19,2024-09-20,2024-09-23,277.3800048828125,293.1400146484375,8.100800643577841,5.681739666953748,8.100800643577832,8.100800643577832,3.505024657587968,WIN,True
NET,2023-04-27,2023-04-28,2023-05-01,59.58000183105469,44.720001220703125,-21.030550870952087,-24.941255712761883,-21.03055087095209,21.03055087095209,6.08158589887857,BIG_LOSS,False
NET,2023-11-02,2023-11-03,2023-11-06,56.58000183105469,63.11000061035156,13.856479470079371,11.541178098217731,13.856479470079375,13.856479470079375,3.258106434002508,BIG_WIN,True
NET,2024-02-07,2024-02-08,2024-02-09,83.3499984741211,107.91999816894533,8.3503289884686,29.47810455263877,8.350328988468592,8.350328988468592,4.80694325602192,BIG_WIN,True
NET,2024-02-08,2024-02-09,2024-02-12,90.30999755859376,105.62000274658205,19.49950291929315,16.952724617288403,19.499502919293143,19.499502919293143,6.317369201400058,BIG_WIN,True
NET,2024-05-02,2024-05-03,2024-05-06,88.97000122070312,74.30000305175781,-16.376306052509992,-16.488701773257517,-16.376306052509992,16.376306052509992,5.0681808300180435,BIG_LOSS,False
NET,2024-10-09,2024-10-10,2024-10-11,84.94999694824219,93.47000122070312,8.840497240754601,10.029434465609167,8.840497240754598,8.840497240754598,3.3542511810815268,BIG_WIN,True
DDOG,2023-08-07,2023-08-08,2023-08-09,106.3000030517578,86.76000213623047,-17.177800199440828,-18.381938245112977,-17.177800199440828,17.177800199440828,4.7182766828660085,BIG_LOSS,False
DDOG,2023-11-06,2023-11-07,2023-11-08,79.55000305175781,99.98999786376952,28.472649940374694,25.69452423366066,28.472649940374705,28.472649940374705,5.3268001042147555,BIG_WIN,True
DDOG,2024-05-06,2024-05-07,2024-05-08,126.97000122070312,117.27999877929688,-11.475151259940686,-7.6317258787473685,-11.475151259940686,11.475151259940686,4.646081480919506,BIG_LOSS,False
ZS,2023-03-02,2023-03-03,2023-03-06,134.1300048828125,119.80999755859376,-11.101175335117725,-10.676214719241921,-11.10117533511773,11.10117533511773,4.61761744647708,BIG_LOSS,False
ZS,2023-05-05,2023-05-08,2023-05-09,89.45999908447266,110.04499816894533,20.634919822704006,23.010283137869557,20.634919822704,20.634919822704,4.361495171796362,BIG_WIN,True
ZS,2024-02-20,2024-02-21,2024-02-22,249.0399932861328,226.1499938964844,-14.10215068422228,-9.191294573859508,-14.10215068422228,14.10215068422228,3.6043457470032316,BIG_LOSS,False
ZS,2024-02-29,2024-03-01,2024-03-04,241.97000122070312,214.22000122070312,-9.39786146152172,-11.46836378890165,-9.397861461521718,9.397861461521718,3.605607883820588,BIG_LOSS,False
ZS,2024-05-30,2024-05-31,2024-06-03,156.64999389648438,169.02000427246094,8.496657092867926,7.896591674399151,8.496657092867931,8.496657092867931,4.2029600066517006,WIN,True
ZS,2024-09-03,2024-09-04,2024-09-05,193.19000244140625,162.25,-18.665560900093993,-16.015322765364232,-18.665560900093993,18.665560900093993,5.746354778704636,BIG_LOSS,False
