symbol,earnings_date,sell_date,hold_days,gap_pct,volume_ratio,buy_price,sell_price,earnings_day_return,total_return,profitable
AMC,2024-05-14,2024-05-17,3,128.9017337854007,8.122283766646849,11.880000114440918,4.400000095367432,-42.340068698265874,-62.96296251698732,False
AMC,2024-05-14,2024-05-21,5,128.9017337854007,8.122283766646849,11.880000114440918,4.650000095367432,-42.340068698265874,-60.85858543288184,False
AMC,2024-05-14,2024-05-23,7,128.9017337854007,8.122283766646849,11.880000114440918,4.550000190734863,-42.340068698265874,-61.700335463767885,False
PLTR,2023-02-14,2023-02-15,1,12.877792403150835,4.339794627501725,8.59000015258789,10.109999656677246,7.334110631547768,17.694988091838724,True
PLTR,2023-02-14,2023-02-16,2,12.877792403150835,4.339794627501725,8.59000015258789,9.710000038146973,7.334110631547768,13.038415199814194,True
PLTR,2023-02-14,2023-02-17,3,12.877792403150835,4.339794627501725,8.59000015258789,9.199999809265137,7.334110631547768,7.101276435873785,True
PLTR,2023-02-14,2023-02-22,5,12.877792403150835,4.339794627501725,8.59000015258789,8.359999656677246,7.334110631547768,-2.6775377395232383,False
PLTR,2023-02-14,2023-02-24,7,12.877792403150835,4.339794627501725,8.59000015258789,8.09000015258789,7.334110631547768,-5.820721666103418,False
PLTR,2023-05-09,2023-05-10,1,19.12145400098423,5.594995334653086,9.220000267028809,9.9399995803833,3.579174773846279,7.8091029555524685,True
PLTR,2023-05-09,2023-05-11,2,19.12145400098423,5.594995334653086,9.220000267028809,9.880000114440918,3.579174773846279,7.158349547692558,True
PLTR,2023-05-09,2023-05-12,3,19.12145400098423,5.594995334653086,9.220000267028809,9.5,3.579174773846279,3.036873371603738,True
PLTR,2023-05-09,2023-05-16,5,19.12145400098423,5.594995334653086,9.220000267028809,9.470000267028809,3.579174773846279,2.711496667673783,True
PLTR,2023-05-09,2023-05-18,7,19.12145400098423,5.594995334653086,9.220000267028809,11.739999771118164,3.579174773846279,27.33188103151149,True
PLTR,2024-02-06,2024-02-07,1,21.41148367659716,6.316013116219674,20.299999237060547,23.600000381469727,7.733998330928947,16.256163883910677,True
PLTR,2024-02-06,2024-02-08,2,21.41148367659716,6.316013116219674,20.299999237060547,24.51000022888184,7.733998330928947,20.738921921412366,True
PLTR,2024-02-06,2024-02-09,3,21.41148367659716,6.316013116219674,20.299999237060547,24.3799991607666,7.733998330928947,20.098522547022725,True
PLTR,2024-02-06,2024-02-13,5,21.41148367659716,6.316013116219674,20.299999237060547,24.01000022888184,7.733998330928947,18.275867641650727,True
PLTR,2024-02-06,2024-02-15,7,21.41148367659716,6.316013116219674,20.299999237060547,25.40999984741211,7.733998330928947,25.172417745822013,True
PLTR,2024-11-05,2024-11-06,1,15.575949738484585,3.8915103809127847,47.86000061035156,55.52999877929688,6.832428784082399,16.025904870729125,True
PLTR,2024-11-05,2024-11-07,2,15.575949738484585,3.8915103809127847,47.86000061035156,55.880001068115234,6.832428784082399,16.757209267625957,True
PLTR,2024-11-05,2024-11-08,3,15.575949738484585,3.8915103809127847,47.86000061035156,58.38999938964844,6.832428784082399,22.00166871084276,True
PLTR,2024-11-05,2024-11-12,5,15.575949738484585,3.8915103809127847,47.86000061035156,59.84999847412109,6.832428784082399,25.052230904435525,True
PLTR,2024-11-05,2024-11-14,7,15.575949738484585,3.8915103809127847,47.86000061035156,59.18000030517578,6.832428784082399,23.652318325244302,True
HOOD,2024-02-14,2024-02-15,1,15.270266787164704,5.806600549862002,13.64799976348877,13.420000076293944,-1.9636551413548982,-1.6705721801430014,False
