scan_ts,date,mfo,zone,orig_sym,orig_price,new_sym,new_price,orig_pnl,new_pnl,note
2026-05-15 09:35:17,2026-05-15,5,Z1,BR,146.55,,,,,no_pass_after_fix
2026-05-15 09:48:01,2026-05-15,5,Z1,DVN,48.235,DVN,48.235,2.5225769669327263,2.5225769669327263,OK
2026-05-15 10:14:23,2026-05-15,30,Z3,ZS,156.37,,,,,no_pass_after_fix
2026-05-15 10:34:20,2026-05-15,30,Z3,MSFT,417.035,,,,,no_pass_after_fix
2026-05-18 09:35:38,2026-05-18,5,Z1,FFIV,379.92,FFIV,379.92,-0.24476731943567365,-0.24476731943567365,OK
2026-05-18 10:05:42,2026-05-18,30,Z3,CAH,199.88,,,,,no_pass_after_fix
2026-05-18 10:15:37,2026-05-18,30,Z3,GPN,69.31,,,,,no_pass_after_fix
2026-05-18 10:35:37,2026-05-18,30,Z3,TMUS,188.71,,,,,no_pass_after_fix
2026-05-19 09:35:39,2026-05-19,5,Z1,SFM,90.93,ADSK,247.78,-1.1007698229407357,-1.560973444184359,CHANGED
2026-05-19 10:05:36,2026-05-19,35,Z3,ZTS,79.81,,,,,no_pass_after_fix
2026-05-19 10:15:38,2026-05-19,45,Z4,ALNY,293.505,,,,,no_pass_after_fix
2026-05-19 10:35:38,2026-05-19,65,Z4,ALNY,292.165,ALNY,292.165,0.6307514589358721,0.6307514589358721,OK
2026-05-20 09:35:39,2026-05-20,5,Z1,MKSI,300.7,CRDO,175.0,3.494945128034587,4.825714285714288,CHANGED
2026-05-20 10:05:37,2026-05-20,35,Z3,SMTC,139.225,CHRW,179.68,1.7854372418746631,0.43428317008013106,CHANGED
2026-05-20 10:30:39,2026-05-20,60,Z4,ONDS,9.335,,,,,all_filtered_universe
2026-05-20 10:35:38,2026-05-20,65,Z4,ONDS,9.34,,,,,no_pass_after_fix
2026-05-21 09:35:39,2026-05-21,5,Z1,CIFR,20.15,CIFR,20.15,7.096029776674953,7.096029776674953,OK
2026-05-21 10:05:36,2026-05-21,35,Z3,MRVL,192.755,OWL,9.96,-1.2698788617675265,2.0586345381526088,CHANGED
2026-05-21 10:45:38,2026-05-21,75,Z4,SMR,10.75,SMR,10.75,5.946511627906981,5.946511627906981,OK
2026-05-22 09:35:40,2026-05-22,5,Z1,PATH,11.045,CRDO,200.29,-1.3222725215029407,8.809181686554497,CHANGED
2026-05-22 10:35:37,2026-05-22,65,Z4,ALAB,311.41,TTD,22.15,-1.3587906618284626,0.9383747178329592,CHANGED
2026-05-26 09:35:53,2026-05-26,5,Z1,FTAI,252.42,USAR,26.345,0.2842801679740111,4.853501613209337,CHANGED
2026-05-26 12:40:24,2026-05-26,15,Z2,LSCC,150.485,LRCX,316.16,-0.1897099378675744,1.9622469635627469,CHANGED
2026-05-26 12:40:48,2026-05-26,35,Z3,TXN,324.07,USAR,26.14,0.35051994939364317,5.676587605202747,CHANGED
2026-05-26 12:41:03,2026-05-26,55,Z4,RKT,14.4,,,,,no_pass_after_fix
2026-05-27 09:40:49,2026-05-27,10,Z2,RCL,276.84,ECL,260.82,-0.7032365265134949,1.1192316540142653,CHANGED
2026-05-27 10:05:48,2026-05-27,35,Z3,RCL,279.93,NIO,5.395,-1.800425106276566,6.30407784986099,CHANGED
2026-05-27 10:20:51,2026-05-27,50,Z4,WSM,206.34,DKNG,24.85,-1.6314529417466301,0.3426559356136798,CHANGED
2026-05-27 10:40:50,2026-05-27,70,Z4,RCL,278.2,,,,,no_pass_after_fix
