symbol,entry_date,exit_date,entry_price,exit_price,return_pct,momentum_7d,period
AMZN,2024-10-22 00:00:00-04:00,2024-11-11 00:00:00-05:00,189.6999969482422,206.83999633789062,9.035318748225874,0.46604681171970636,October 2024
AMZN,2024-10-29 00:00:00-04:00,2024-11-18 00:00:00-05:00,190.8300018310547,201.6999969482422,5.696166752024091,0.9735945205616597,October 2024
META,2024-10-01 00:00:00-04:00,2024-10-21 00:00:00-04:00,574.1947021484375,572.889892578125,-0.2272416595678008,2.693503163131663,October 2024
META,2024-10-08 00:00:00-04:00,2024-10-28 00:00:00-04:00,590.5499267578125,575.8780517578125,-2.4844427770146877,4.499781724426711,October 2024
META,2024-10-15 00:00:00-04:00,2024-11-04 00:00:00-05:00,583.9560546875,558.4669799804688,-4.3648960401089685,-1.6226570882575373,October 2024
META,2024-10-29 00:00:00-04:00,2024-11-18 00:00:00-05:00,590.9384155273438,552.2119140625,-6.553390412143853,2.9160341111224257,October 2024
NVDA,2024-10-01 00:00:00-04:00,2024-10-21 00:00:00-04:00,116.95994567871094,143.6608123779297,22.829068998173145,0.8620614787092014,October 2024
NVDA,2024-10-15 00:00:00-04:00,2024-11-04 00:00:00-05:00,131.55496215820312,136.00343322753906,3.381454409896276,5.347433199927981,October 2024
NVDA,2024-10-22 00:00:00-04:00,2024-11-11 00:00:00-05:00,143.5408477783203,145.21026611328125,1.1630266650919683,6.5207685136462885,October 2024
NVDA,2024-10-29 00:00:00-04:00,2024-11-18 00:00:00-05:00,141.20164489746094,140.1020050048828,-0.7787727213636011,2.355071501952467,October 2024
TSLA,2024-10-08 00:00:00-04:00,2024-10-28 00:00:00-04:00,244.5,262.510009765625,7.366057163854806,-6.127617284296336,October 2024
TSLA,2024-10-15 00:00:00-04:00,2024-11-04 00:00:00-05:00,219.57000732421875,242.83999633789062,10.597981617457993,-12.200093683399531,October 2024
TSLA,2024-10-22 00:00:00-04:00,2024-11-11 00:00:00-05:00,217.97000122070312,350.0,60.57255495705179,0.07805241807315966,October 2024
AMD,2024-10-01 00:00:00-04:00,2024-10-21 00:00:00-04:00,159.75,157.89999389648438,-1.1580632885856808,2.436680427136517,October 2024
AMD,2024-10-08 00:00:00-04:00,2024-10-28 00:00:00-04:00,172.8000030517578,159.9199981689453,-7.453706397768191,5.141464334914578,October 2024
AMD,2024-10-15 00:00:00-04:00,2024-11-04 00:00:00-05:00,156.63999938964844,140.7100067138672,-10.16981150271505,-8.344057938043777,October 2024
AMD,2024-10-22 00:00:00-04:00,2024-11-11 00:00:00-05:00,154.08999633789062,147.35000610351562,-4.3740608699837065,-8.219669487120552,October 2024
AMD,2024-10-29 00:00:00-04:00,2024-11-18 00:00:00-05:00,166.25,138.92999267578125,-16.43308711231203,6.5910102576394225,October 2024
MU,2024-10-08 00:00:00-04:00,2024-10-28 00:00:00-04:00,102.07241821289062,105.90486907958984,3.754639043336804,-4.506555003371112,October 2024
MU,2024-10-15 00:00:00-04:00,2024-11-04 00:00:00-05:00,103.84430694580078,101.26612854003906,-2.4827344720085054,2.1393224295821813,October 2024
MU,2024-10-22 00:00:00-04:00,2024-11-11 00:00:00-05:00,107.32835388183594,108.15457153320312,0.7698037112139247,0.8417516020247571,October 2024
MU,2024-10-29 00:00:00-04:00,2024-11-18 00:00:00-05:00,107.68671417236328,97.06536102294922,-9.863197360088016,-2.6720596796863045,October 2024
AVGO,2024-10-01 00:00:00-04:00,2024-10-21 00:00:00-04:00,165.5267333984375,177.90145874023438,7.475967831739792,-2.1215644186032874,October 2024
AVGO,2024-10-08 00:00:00-04:00,2024-10-28 00:00:00-04:00,178.6328582763672,170.02394104003906,-4.8193357702472985,4.655738449402508,October 2024
AVGO,2024-10-15 00:00:00-04:00,2024-11-04 00:00:00-05:00,173.93797302246094,166.59420776367188,-4.22205981315003,-0.373642571970462,October 2024
AVGO,2024-10-22 00:00:00-04:00,2024-11-11 00:00:00-05:00,177.2985382080078,176.833984375,-0.2620178585244707,-1.1571469099691079,October 2024
AVGO,2024-10-29 00:00:00-04:00,2024-11-18 00:00:00-05:00,177.16015625,163.7476043701172,-7.570862525632263,-0.3613396057643729,October 2024
QCOM,2024-10-01 00:00:00-04:00,2024-10-21 00:00:00-04:00,161.30648803710938,164.44931030273438,1.9483545292375206,-1.858876660347898,October 2024
QCOM,2024-10-08 00:00:00-04:00,2024-10-28 00:00:00-04:00,161.8513641357422,167.57272338867188,3.5349465748903257,-2.2277177755895115,October 2024
QCOM,2024-10-15 00:00:00-04:00,2024-11-04 00:00:00-05:00,169.39224243164062,160.72267150878906,-5.11804483983393,3.07281935560605,October 2024
QCOM,2024-10-22 00:00:00-04:00,2024-11-11 00:00:00-05:00,168.5067901611328,163.74874877929688,-2.8236496447924213,1.88258289077316,October 2024
QCOM,2024-10-29 00:00:00-04:00,2024-11-18 00:00:00-05:00,171.25070190429688,160.06101989746094,-6.534094098539385,2.9721500223824857,October 2024
LRCX,2024-10-01 00:00:00-04:00,2024-10-21 00:00:00-04:00,78.77249908447266,71.95801544189453,-8.650840993721083,3.128607049951037,October 2024
LRCX,2024-10-08 00:00:00-04:00,2024-10-28 00:00:00-04:00,80.02909088134766,74.53640747070312,-6.8633584989589185,-2.0577395462689108,October 2024
LRCX,2024-10-15 00:00:00-04:00,2024-11-04 00:00:00-05:00,75.43539428710938,73.27191925048828,-2.8679839975209025,-6.352711636453183,October 2024
LRCX,2024-10-22 00:00:00-04:00,2024-11-11 00:00:00-05:00,72.11607360839844,75.24769592285156,4.342474787879224,-11.931486102913397,October 2024
LRCX,2024-10-29 00:00:00-04:00,2024-11-18 00:00:00-05:00,77.36178588867188,69.71549987792969,-9.883802348805183,7.509615730218187,October 2024
AMAT,2024-10-01 00:00:00-04:00,2024-10-21 00:00:00-04:00,194.7874755859375,182.20333862304688,-6.4604446076609685,2.6228096492641244,October 2024
AMAT,2024-10-08 00:00:00-04:00,2024-10-28 00:00:00-04:00,198.42245483398438,183.0725860595703,-7.735953467190472,-1.971498657403429,October 2024
AMAT,2024-10-15 00:00:00-04:00,2024-11-04 00:00:00-05:00,188.68309020996094,179.59564208984375,-4.816249357589461,-5.42159035683085,October 2024
AMAT,2024-10-22 00:00:00-04:00,2024-11-11 00:00:00-05:00,180.7611846923828,186.253173828125,3.038256883018546,-10.757838920677719,October 2024
AMAT,2024-10-29 00:00:00-04:00,2024-11-18 00:00:00-05:00,187.79409790039062,168.6413116455078,-10.198822257471475,2.017602473102958,October 2024
KLAC,2024-10-01 00:00:00-04:00,2024-10-21 00:00:00-04:00,745.2349243164062,666.0533447265625,-10.625049498649828,-0.6799840859288261,October 2024
KLAC,2024-10-08 00:00:00-04:00,2024-10-28 00:00:00-04:00,775.1060791015625,666.7850341796875,-13.974996176966076,0.19171540156329314,October 2024
KLAC,2024-10-15 00:00:00-04:00,2024-11-04 00:00:00-05:00,699.7807006835938,655.92822265625,-6.266602949253337,-10.118231001931973,October 2024
KLAC,2024-10-22 00:00:00-04:00,2024-11-11 00:00:00-05:00,662.5629272460938,658.5584106445312,-0.6043979276364062,-16.62871266863775,October 2024
KLAC,2024-10-29 00:00:00-04:00,2024-11-18 00:00:00-05:00,688.4194946289062,615.0033569335938,-10.664447806622269,2.6100875533107235,October 2024
MRVL,2024-10-01 00:00:00-04:00,2024-10-21 00:00:00-04:00,70.03277587890625,81.5748291015625,16.480930646835457,-4.819272111315173,October 2024
MRVL,2024-10-08 00:00:00-04:00,2024-10-28 00:00:00-04:00,72.82173919677734,83.17980194091797,14.223860702023734,2.9863468432031417,October 2024
MRVL,2024-10-29 00:00:00-04:00,2024-11-18 00:00:00-05:00,84.60535430908203,88.4333724975586,4.524557836483926,6.286801063731291,October 2024
NFLX,2024-10-01 00:00:00-04:00,2024-10-21 00:00:00-04:00,70.61299896240234,77.20700073242188,9.338226483668375,0.7275040430797494,October 2024
NFLX,2024-10-08 00:00:00-04:00,2024-10-28 00:00:00-04:00,72.1760025024414,74.91200256347656,3.7907337150496927,2.037183685100532,October 2024
NFLX,2024-10-15 00:00:00-04:00,2024-11-04 00:00:00-05:00,70.5979995727539,75.5510025024414,7.015783676112866,-1.90635212543882,October 2024
NFLX,2024-10-22 00:00:00-04:00,2024-11-11 00:00:00-05:00,76.42400360107422,80.54399871826172,5.390970013418126,5.734728359500189,October 2024
NFLX,2024-10-29 00:00:00-04:00,2024-11-18 00:00:00-05:00,75.94400024414062,84.70500183105469,11.536133939152103,-0.5825442081710397,October 2024
SHOP,2024-10-01 00:00:00-04:00,2024-10-21 00:00:00-04:00,78.44999694824219,82.66000366210938,5.366484228985709,-0.3429932269740961,October 2024
SHOP,2024-10-08 00:00:00-04:00,2024-10-28 00:00:00-04:00,82.58000183105469,79.87000274658203,-3.281665081597934,4.25451683566885,October 2024
SHOP,2024-10-15 00:00:00-04:00,2024-11-04 00:00:00-05:00,81.93000030517578,78.44000244140625,-4.259731295947593,-0.6065752737460623,October 2024
SHOP,2024-10-22 00:00:00-04:00,2024-11-11 00:00:00-05:00,81.61000061035156,89.98999786376953,10.268346024684424,-1.9581899270175622,October 2024
SHOP,2024-10-29 00:00:00-04:00,2024-11-18 00:00:00-05:00,80.38999938964844,105.87999725341797,31.707921454533306,-2.7697156592583965,October 2024
SNOW,2024-10-01 00:00:00-04:00,2024-10-21 00:00:00-04:00,110.2300033569336,119.55999755859375,8.464114957384956,-0.03626851124541792,October 2024
SNOW,2024-10-08 00:00:00-04:00,2024-10-28 00:00:00-04:00,113.5199966430664,117.33000183105469,3.3562414558272358,-0.3511249405795259,October 2024
SNOW,2024-10-15 00:00:00-04:00,2024-11-04 00:00:00-05:00,122.73999786376953,113.73999786376953,-7.332573045983917,6.990931448507573,October 2024
SNOW,2024-10-22 00:00:00-04:00,2024-11-11 00:00:00-05:00,115.5,123.5,6.926406926406926,-6.877367462105228,October 2024
SNOW,2024-10-29 00:00:00-04:00,2024-11-18 00:00:00-05:00,118.38999938964844,127.43000030517578,7.6357808616711305,-0.9620223499007267,October 2024
CRWD,2024-10-01 00:00:00-04:00,2024-10-21 00:00:00-04:00,275.1499938964844,309.54998779296875,12.502269547360475,-8.237455962733646,October 2024
CRWD,2024-10-08 00:00:00-04:00,2024-10-28 00:00:00-04:00,293.010009765625,301.32000732421875,2.836079752101579,2.5012330443063244,October 2024
CRWD,2024-10-15 00:00:00-04:00,2024-11-04 00:00:00-05:00,302.30999755859375,298.8800048828125,-1.1345945233307901,3.445800595648342,October 2024
CRWD,2024-10-22 00:00:00-04:00,2024-11-11 00:00:00-05:00,308.510009765625,342.4200134277344,10.991540821599532,-3.653846538731288,October 2024
CRWD,2024-10-29 00:00:00-04:00,2024-11-18 00:00:00-05:00,310.94000244140625,342.9700012207031,10.30102223187981,0.25471822036712605,October 2024
DDOG,2024-10-01 00:00:00-04:00,2024-10-21 00:00:00-04:00,113.9800033569336,125.80999755859375,10.379008469243493,-0.6796782544243474,October 2024
DDOG,2024-10-15 00:00:00-04:00,2024-11-04 00:00:00-05:00,126.87999725341797,125.55999755859375,-1.040352871530867,3.4151069595199965,October 2024
DDOG,2024-10-22 00:00:00-04:00,2024-11-11 00:00:00-05:00,124.62000274658203,122.36000061035156,-1.8135147539887646,-3.9981472225735573,October 2024
DDOG,2024-10-29 00:00:00-04:00,2024-11-18 00:00:00-05:00,128.75999450683594,125.97000122070312,-2.16681687259989,0.4995312316887378,October 2024
NET,2024-10-01 00:00:00-04:00,2024-10-21 00:00:00-04:00,78.11000061035156,90.73999786376953,16.169500902224,-5.263791993364231,October 2024
NET,2024-10-08 00:00:00-04:00,2024-10-28 00:00:00-04:00,81.76000213623047,87.94000244140625,7.55870859063643,0.20836598354018135,October 2024
NET,2024-10-22 00:00:00-04:00,2024-11-11 00:00:00-05:00,88.45999908447266,93.2300033569336,5.392272577242445,-5.360010774366802,October 2024
NET,2024-10-29 00:00:00-04:00,2024-11-18 00:00:00-05:00,89.5199966430664,92.29000091552734,3.0942854963517057,-1.4096986406066276,October 2024
ZS,2024-10-01 00:00:00-04:00,2024-10-21 00:00:00-04:00,166.99000549316406,187.9600067138672,12.557638499845163,-3.3119107164297596,October 2024
ZS,2024-10-08 00:00:00-04:00,2024-10-28 00:00:00-04:00,176.92999267578125,187.0,5.69152079414355,3.004010173473337,October 2024
ZS,2024-10-22 00:00:00-04:00,2024-11-11 00:00:00-05:00,186.16000366210938,199.5399932861328,7.187359991842744,-6.103092494693557,October 2024
ZS,2024-10-29 00:00:00-04:00,2024-11-18 00:00:00-05:00,189.85000610351562,202.85000610351562,6.8475109729055035,-0.08419999365588984,October 2024
PLTR,2024-10-01 00:00:00-04:00,2024-10-21 00:00:00-04:00,36.459999084472656,42.70000076293945,17.114651220943795,-1.9892517830376617,October 2024
PLTR,2024-10-15 00:00:00-04:00,2024-11-04 00:00:00-05:00,42.43000030517578,41.40999984741211,-2.403960524221934,6.048493089638906,October 2024
PLTR,2024-10-22 00:00:00-04:00,2024-11-11 00:00:00-05:00,42.939998626708984,60.2400016784668,40.28878343046124,-1.3100430172669635,October 2024
PLTR,2024-10-29 00:00:00-04:00,2024-11-18 00:00:00-05:00,44.93000030517578,61.2599983215332,36.34542155673269,4.561319592256191,October 2024
NKE,2024-10-01 00:00:00-04:00,2024-10-21 00:00:00-04:00,86.64205169677734,79.20560455322266,-8.582953655783854,3.016646350014759,October 2024
NKE,2024-10-08 00:00:00-04:00,2024-10-28 00:00:00-04:00,78.51541137695312,76.70733642578125,-2.3028280938264367,-9.693655038862406,October 2024
NKE,2024-10-15 00:00:00-04:00,2024-11-04 00:00:00-05:00,79.8277359008789,75.03534698486328,-6.003413302321732,-0.15805728097391683,October 2024
NKE,2024-10-22 00:00:00-04:00,2024-11-11 00:00:00-05:00,79.14727020263672,74.46182250976562,-5.919910668902643,-0.8886116578558024,October 2024
NKE,2024-10-29 00:00:00-04:00,2024-11-18 00:00:00-05:00,76.2115707397461,72.79954528808594,-4.477043864260242,-5.451027012496794,October 2024
SBUX,2024-10-01 00:00:00-04:00,2024-10-21 00:00:00-04:00,94.32676696777344,93.37797546386719,-1.0058560622886639,1.4367501115807713,October 2024
SBUX,2024-10-08 00:00:00-04:00,2024-10-28 00:00:00-04:00,93.1456298828125,94.8979721069336,1.881293010016395,-1.1811765791440756,October 2024
DIS,2024-10-22 00:00:00-04:00,2024-11-11 00:00:00-05:00,95.25973510742188,99.31669616699219,4.258841424443796,2.772758397569648,October 2024
TGT,2024-10-08 00:00:00-04:00,2024-10-28 00:00:00-04:00,143.88577270507812,141.96498107910156,-1.3349420098077371,-2.4874258523937054,October 2024
TGT,2024-10-15 00:00:00-04:00,2024-11-04 00:00:00-05:00,152.79542541503906,142.62110900878906,-6.658783388713012,5.108581364935602,October 2024
TGT,2024-10-22 00:00:00-04:00,2024-11-11 00:00:00-05:00,141.86041259765625,145.7494659423828,2.741464848094496,-5.850058675580548,October 2024
