symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,days_held,exit_reason,score,realistic
TXN,2024-11-18,2024-11-20,198.12237023546137,194.15992283075215,-2.3,1,Stop Loss,140,True
INTC,2024-11-18,2024-11-20,24.5,24.009999999999998,-2.3,1,Stop Loss,125,True
NVDA,2024-11-19,2024-11-21,147.35954130772643,143.42504155481015,-2.9699999999999998,1,Stop Loss,100,True
ZS,2024-11-21,2024-11-25,210.0,215.04000244140622,2.1000011625743884,1,Trailing Stop,115,True
CRWD,2024-11-26,2024-11-29,359.2200012207031,352.03560119628906,-2.3,1,Stop Loss,95,True
BA,2024-11-27,2024-12-02,153.0,158.8800048828125,3.5431404462826803,1,Trailing Stop,85,True
MRVL,2024-11-29,2024-12-03,96.99657157853395,95.05664014696326,-2.3,1,Stop Loss,140,True
NET,2024-11-29,2024-12-03,106.02999877929688,103.90939880371094,-2.3,1,Stop Loss,125,True
ZS,2024-11-29,2024-12-03,207.5500030517578,203.39900299072266,-2.3,1,Stop Loss,110,True
COIN,2024-12-02,2024-12-04,296.7799987792969,324.95599975585935,9.193901574383323,1,Trailing Stop,170,True
ABNB,2024-12-02,2024-12-13,136.97000122070312,134.23060119628906,-2.3,8,Stop Loss,95,True
S,2024-12-03,2024-12-05,28.260000228881836,27.6948002243042,-2.3,1,Stop Loss,115,True
RIVN,2024-12-03,2024-12-05,11.829999923706055,12.646000289916993,6.597720807045488,1,Trailing Stop,100,True
ZS,2024-12-04,2024-12-06,205.6300048828125,213.23880615234376,3.400238821599734,1,Trailing Stop,155,True
ENPH,2024-12-04,2024-12-06,73.37999725341797,71.91239730834961,-2.3,1,Stop Loss,100,True
LRCX,2024-12-06,2024-12-10,75.54406987993252,74.03318848233387,-2.3,1,Stop Loss,105,True
ARM,2024-12-06,2024-12-10,140.14999389648438,137.30494902038575,-2.33,1,Stop Loss,95,True
KLAC,2024-12-06,2024-12-10,653.4249273237127,640.3564287772384,-2.3,1,Stop Loss,95,True
FSLR,2024-12-09,2024-12-11,200.4600067138672,205.09200134277344,2.0106826667515163,1,Trailing Stop,120,True
DXCM,2024-12-09,2024-12-11,78.79000091552734,80.6540023803711,2.0657842913876774,1,Trailing Stop,110,True
BA,2024-12-09,2024-12-11,160.0,167.44000244140625,4.350001525878906,1,Trailing Stop,90,True
DDOG,2024-12-11,2024-12-13,155.82000732421875,152.70360717773437,-2.3,1,Stop Loss,160,True
MU,2024-12-11,2024-12-16,100.93762460057363,108.68613138700894,7.376529754982246,2,Trailing Stop,110,True
TSM,2024-12-11,2024-12-13,192.0423883935221,198.28623008427576,2.9512830854608785,1,Trailing Stop,110,True
LRCX,2024-12-13,2024-12-17,75.57785469288336,77.53591876845285,2.2907907594443255,1,Trailing Stop,105,True
ENPH,2024-12-13,2024-12-17,72.95999908447266,71.5007991027832,-2.3,1,Stop Loss,90,True
FSLR,2024-12-13,2024-12-17,197.63999938964844,193.68719940185545,-2.3,1,Stop Loss,90,True
DDOG,2024-12-16,2024-12-18,156.36000061035156,153.23280059814454,-2.3,1,Stop Loss,155,True
CFLT,2024-12-16,2024-12-18,31.420000076293945,30.791600074768066,-2.3,1,Stop Loss,140,True
SNOW,2024-12-16,2024-12-18,171.0,167.57999999999998,-2.3,1,Stop Loss,125,True
ENPH,2024-12-17,2024-12-19,72.95999908447266,71.5007991027832,-2.3,1,Stop Loss,125,True
DXCM,2024-12-17,2024-12-19,77.26000213623047,75.71480209350585,-2.3,1,Stop Loss,110,True
AMZN,2024-12-19,2024-12-23,219.83999633789062,225.47200317382814,2.26186632539841,1,Trailing Stop,95,True
ROKU,2024-12-24,2024-12-27,79.08000183105469,77.49840179443359,-2.3,1,Stop Loss,160,True
CHWY,2024-12-27,2024-12-31,33.5099983215332,34.2620002746582,1.9441121778325081,1,Trailing Stop,85,True
RIVN,2024-12-30,2025-01-02,13.725000381469727,13.450500373840331,-2.3,1,Stop Loss,145,True
NVDA,2024-12-30,2025-01-02,137.99226367763055,135.23241840407795,-2.3,1,Stop Loss,100,True
GOOGL,2024-12-30,2025-01-06,190.33457825065463,196.02428685488985,2.689319469183552,3,Trailing Stop,85,True
CHWY,2025-01-02,2025-01-06,34.79999923706055,37.248000335693355,6.734486069832408,1,Trailing Stop,130,True
NVDA,2025-01-02,2025-01-06,139.9717090810043,149.68905707845363,6.642365754658124,1,Trailing Stop,120,True
MRVL,2025-01-02,2025-01-06,114.66853511546259,121.28307351055453,5.468398792599555,1,Trailing Stop,120,True
CHWY,2025-01-08,2025-01-13,35.72999954223633,36.691599273681646,2.3912951126926654,1,Trailing Stop,110,True
MRVL,2025-01-08,2025-01-13,115.77327009924741,113.23783548407388,-2.49,1,Stop Loss,105,True
LCID,2025-01-10,2025-01-14,30.0,31.280000305175783,3.966667683919276,1,Trailing Stop,150,True
MU,2025-01-10,2025-01-15,95.52693209086259,101.97778730504939,6.452917813848483,2,Trailing Stop,120,True
TSM,2025-01-10,2025-01-14,197.85407856921526,202.3850251178888,1.9900445527527906,1,Trailing Stop,110,True
MRVL,2025-01-13,2025-01-16,116.35132568888689,119.64433311337804,2.530227678966341,2,Trailing Stop,130,True
ARM,2025-01-14,2025-01-16,143.0,148.60799560546874,3.6216752485795407,1,Trailing Stop,150,True
PATH,2025-01-14,2025-01-16,13.65999984741211,13.385433850479126,-2.3099999999999996,1,Stop Loss,115,True
PATH,2025-01-21,2025-01-23,13.300000190734863,13.708000373840333,2.7676705056718243,1,Trailing Stop,100,True
CRWD,2025-01-21,2025-01-24,368.760009765625,381.1919921875,3.071293549367364,2,Trailing Stop,95,True
ARM,2025-01-28,2025-01-30,150.66000366210938,154.03600463867187,1.940807709081153,1,Trailing Stop,165,True
COIN,2025-01-28,2025-01-30,281.82000732421875,301.16400146484375,6.563953458907826,1,Trailing Stop,165,True
KLAC,2025-01-28,2025-01-30,714.9688650252724,734.8231685202794,2.4769465869405662,1,Trailing Stop,150,True
PYPL,2025-01-29,2025-02-03,89.3035593967793,87.51748820884372,-2.3,2,Stop Loss,100,True
ARM,2025-01-30,2025-02-03,154.0,158.28800048828126,2.484415901481335,1,Trailing Stop,155,True
ORCL,2025-01-30,2025-02-03,168.70051413801968,164.65170179870722,-2.7,1,Stop Loss,145,True
PATH,2025-01-30,2025-02-03,14.90999984741211,14.537249851226806,-2.8,1,Stop Loss,115,True
PYPL,2025-02-03,2025-02-05,82.07027454854592,80.428869057575,-2.3,1,Stop Loss,95,True
PATH,2025-02-03,2025-02-05,14.390000343322754,14.79799976348877,2.5352981961903556,1,Trailing Stop,95,True
BA,2025-02-03,2025-02-05,176.89999389648438,180.86799926757814,1.9430782973433585,1,Trailing Stop,90,True
CFLT,2025-02-04,2025-02-06,28.969999313354492,29.91399955749512,2.9585442406464484,1,Trailing Stop,145,True
ROKU,2025-02-04,2025-02-07,80.12000274658203,84.1760025024414,4.762405912152077,2,Trailing Stop,135,True
CHWY,2025-02-04,2025-02-07,38.25,37.485,-2.3,2,Stop Loss,110,True
AMAT,2025-02-10,2025-02-14,179.99820440005053,176.14624282588946,-2.4400000000000004,3,Stop Loss,125,True
AMZN,2025-02-10,2025-02-14,231.9199981689453,227.2815982055664,-2.3,3,Stop Loss,110,True
KLAC,2025-02-10,2025-02-12,748.1552206139763,733.1921162016968,-2.3,1,Stop Loss,105,True
PATH,2025-02-12,2025-02-14,14.25,15.09000015258789,5.594737912897479,1,Trailing Stop,155,True
ROKU,2025-02-12,2025-02-14,81.76000213623047,100.31999969482422,22.400583504962047,1,Trailing Stop,110,True
SNOW,2025-02-12,2025-02-14,186.9600067138672,191.79200134277343,2.284507089958211,1,Trailing Stop,100,True
AMAT,2025-02-13,2025-02-18,173.10717316177923,169.64502969854365,-2.3,1,Stop Loss,130,True
ORCL,2025-02-13,2025-02-18,172.50201163070858,178.8298930686435,3.3682942871887374,1,Trailing Stop,130,True
LRCX,2025-02-13,2025-02-18,81.89996295477745,85.19775643261904,3.7266116843819947,1,Trailing Stop,95,True
KLAC,2025-02-18,2025-02-20,754.6794548585419,780.7526381651493,3.154868572180031,1,Trailing Stop,90,True
AVGO,2025-02-19,2025-02-21,226.60234108515445,222.07029426345136,-2.3,1,Stop Loss,105,True
ROKU,2025-02-24,2025-02-26,91.41500091552734,89.5867008972168,-2.3,1,Stop Loss,175,True
ENPH,2025-02-24,2025-02-26,65.95999908447266,64.6407991027832,-2.3,1,Stop Loss,105,True
DE,2025-02-25,2025-02-27,483.38696656019016,473.71922722898637,-2.3,1,Stop Loss,90,True
INTC,2025-02-26,2025-02-28,23.700000762939453,23.226000747680665,-2.3,1,Stop Loss,175,True
ABNB,2025-02-26,2025-02-28,144.6300048828125,141.73740478515626,-2.3,1,Stop Loss,160,True
UBER,2025-02-26,2025-02-28,75.94999694824219,74.43099700927735,-2.3,1,Stop Loss,150,True
INTC,2025-02-28,2025-03-04,25.0,24.5,-2.3,1,Stop Loss,155,True
ADI,2025-02-28,2025-03-04,228.07866923719345,223.5170958524496,-2.3,1,Stop Loss,135,True
