entry_date,entry_price,stop_loss,take_profit,sl_pct,tp_pct,pos_size,spy_regime,sector,score,exit_date,pnl_pct,reason,days,symbol
2023-07-25,130.5,127.89,140.94,2.0,8.0,0.33,BULL,Consumer_Auto,145,2023-07-26,-2.3,SL,1,PSNY
2023-07-18,20.520000457763672,20.109600448608397,22.161600494384768,2.0,8.0,0.33,BULL,Consumer_Travel,145,2023-07-27,7.700000000000011,TP,7,NCLH
2023-07-20,49.78513585501957,48.485743809203555,51.776541289220354,2.61,4.0,0.33,BULL,Real_Estate_Industrial,105,2023-07-27,3.7000000000000064,TP,5,REXR
2023-07-28,35.77000045776367,35.0546004486084,37.36176547813415,2.0,4.45,0.33,BULL,Consumer_Food,100,2023-07-31,4.149999999999993,TP,1,SENEA
2023-07-31,22.489999771118164,22.0401997756958,23.38959976196289,2.0,4.0,0.33,BULL,Energy_Services,145,2023-08-01,-2.3000000000000016,SL,1,OII
2023-07-27,40.41999816894531,39.42566621398926,43.06346604919433,2.46,6.54,0.33,BULL,Technology,145,2023-08-02,-2.7599999999999953,SL,4,RNG
2023-08-01,68.1500015258789,66.78700149536132,71.29853159637452,2.0,4.62,0.33,BULL,Healthcare_Services,140,2023-08-03,-2.300000000000007,SL,2,CNC
2023-08-02,405.1700134277344,397.06661315917967,429.64228223876955,2.0,6.04,0.33,BULL,Healthcare_MedDevices,110,2023-08-03,-2.300000000000005,SL,1,BIO
2023-08-03,32.20000076293945,31.556000747680663,34.77600082397461,2.0,8.0,0.45,BEAR,Healthcare_MedDevices,160,2023-08-04,-2.3000000000000025,SL,1,TNDM
2023-08-04,32.400001525878906,31.752001495361327,33.696001586914065,2.0,4.0,0.45,BEAR,Technology,130,2023-08-07,3.7000000000000073,TP,1,SMCI
2023-08-04,105.35518194481885,103.24807830592248,109.5693892226116,2.0,4.0,0.45,BEAR,Finance_Insurance,125,2023-08-08,-2.2999999999999994,SL,2,ALL
2023-08-07,32.56999969482422,31.918599700927732,35.17559967041016,2.0,8.0,0.45,BEAR,Healthcare_MedDevices,160,2023-08-08,-2.300000000000007,SL,1,TNDM
2023-08-08,9.946928771279442,9.747990195853854,10.742683072981798,2.0,8.0,0.45,BEAR,Finance_Payments,155,2023-08-09,-2.2999999999999927,SL,1,PAGS
2023-08-09,25.829999923706055,25.313399925231934,27.89639991760254,2.0,8.0,0.45,BEAR,Healthcare_Services,145,2023-08-10,-2.299999999999998,SL,1,TDOC
2023-08-10,110.84657520592502,108.62964370180651,118.72776670306628,2.0,7.11,0.45,BEAR,Industrial_Transport,150,2023-08-11,-2.300000000000005,SL,1,ARCB
