symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,days_held,exit_reason,score,pos_size,spy_regime
AMD,2023-10-17,2023-10-23,103.37999725341797,101.3123973083496,-2.3,3,Stop Loss,120,0.33,BULL
NET,2023-10-20,2023-10-24,58.5,60.71600036621094,3.4880348140357977,1,Trailing Stop,140,0.45,BEAR
AVGO,2023-10-24,2023-10-26,85.37376439790566,83.66628910994754,-2.3,1,Stop Loss,135,0.45,BEAR
TSM,2023-10-24,2023-10-26,87.92782943960104,86.16927285080902,-2.3,1,Stop Loss,85,0.45,BEAR
NFLX,2023-10-31,2023-11-02,41.47700119018555,42.430599212646484,1.9991006945954946,1,Trailing Stop,85,0.45,BEAR
GE,2023-10-31,2023-11-06,85.32591006229498,87.58235156910327,2.344497439477525,3,Trailing Stop,105,0.45,BEAR
PYPL,2023-11-08,2023-11-10,55.67130279146441,54.557876735635126,-2.3,1,Stop Loss,100,0.33,BULL
ABNB,2023-11-08,2023-11-10,118.3499984741211,115.67528850860596,-2.5599999999999996,1,Stop Loss,130,0.33,BULL
ARM,2023-12-06,2023-12-08,61.52000045776367,66.25600204467774,7.398312015074765,1,Trailing Stop,110,0.33,BULL
SHOP,2023-12-06,2023-12-08,70.86000061035156,72.58799743652344,2.1386068462994636,1,Trailing Stop,100,0.33,BULL
TSLA,2023-12-06,2023-12-12,241.5500030517578,236.71900299072266,-2.3,3,Stop Loss,115,0.33,BULL
TSLA,2023-12-14,2023-12-18,251.2100067138672,257.23399353027344,2.0979883983155503,1,Trailing Stop,105,0.33,BULL
ARM,2023-12-20,2023-12-22,70.0,72.75120239257812,3.63028913225446,1,Trailing Stop,110,0.33,BULL
AMD,2023-12-22,2023-12-27,140.07000732421875,145.01400146484374,3.229659371817678,1,Trailing Stop,105,0.33,BULL
SMCI,2023-12-26,2023-12-28,29.799999237060547,29.203999252319335,-2.3,1,Stop Loss,175,0.33,BULL
NVDA,2023-12-22,2024-01-02,48.940732556066926,47.96191790494559,-2.3,4,Stop Loss,95,0.33,BULL
SMCI,2024-01-02,2024-01-04,27.725000381469727,29.183400344848632,4.960234240983604,1,Trailing Stop,125,0.33,BULL
PYPL,2024-01-02,2024-01-04,60.56000315683308,59.34880309369642,-2.3,1,Stop Loss,85,0.33,BULL
ENPH,2024-01-03,2024-01-05,120.22000122070312,117.81560119628907,-2.3,1,Stop Loss,115,0.33,BULL
MRVL,2024-01-05,2024-01-09,59.62067950283624,62.784557075436275,5.006678150908237,1,Trailing Stop,150,0.45,BEAR
SMCI,2024-01-05,2024-01-09,29.48900032043457,33.83219947814941,14.428200720677525,1,Trailing Stop,140,0.45,BEAR
DXCM,2024-01-16,2024-01-18,123.0,127.0,2.9520325203252034,1,Trailing Stop,110,0.33,BULL
CRWD,2024-01-19,2024-01-23,300.4800109863281,294.2901227600098,-2.3600000000000003,1,Stop Loss,105,0.33,BULL
AVGO,2024-01-30,2024-02-02,116.31313565590023,119.8522713476548,2.742765266190337,2,Trailing Stop,100,0.33,BULL
MU,2024-02-01,2024-02-05,84.43142910223662,86.13852503764492,1.7218726054502882,1,Trailing Stop,95,0.33,BULL
NET,2024-02-07,2024-02-09,83.75,109.55,30.505970149253724,1,Trailing Stop,125,0.33,BULL
AMD,2024-02-08,2024-02-12,171.0,176.12800292968748,2.6988321226242586,1,Trailing Stop,120,0.33,BULL
CRWD,2024-02-14,2024-02-16,337.5,330.75,-2.3,1,Stop Loss,85,0.33,BULL
UBER,2024-02-14,2024-02-20,79.0,77.42,-2.3,2,Stop Loss,95,0.33,BULL
QCOM,2024-02-15,2024-02-20,151.0436520527161,146.76911669962425,-3.13,1,Stop Loss,105,0.33,BULL
INTC,2024-02-20,2024-02-22,44.020815778072794,43.017141178332736,-2.58,1,Stop Loss,90,0.33,BULL
QCOM,2024-02-21,2024-02-27,148.45383450378526,151.85319292533336,1.9898421134830466,3,Trailing Stop,85,0.33,BULL
TSM,2024-02-22,2024-02-28,126.96759448068401,124.42824259107033,-2.3,3,Stop Loss,85,0.33,BULL
MRVL,2024-02-27,2024-02-29,67.7887309888498,70.62666881444879,3.886444832645977,1,Trailing Stop,110,0.33,BULL
ABNB,2024-02-28,2024-03-01,153.39999389648438,159.4639953613281,3.653064997470448,1,Trailing Stop,95,0.33,BULL
AMAT,2024-03-01,2024-03-05,208.62554463547124,204.45303374276182,-2.3,1,Stop Loss,100,0.33,BULL
NVDA,2024-03-01,2024-03-06,84.08315120139147,88.55923011742969,5.02339577202257,2,Trailing Stop,90,0.33,BULL
ENPH,2024-03-06,2024-03-08,127.06999969482422,133.73399505615234,4.944349868051157,1,Trailing Stop,125,0.33,BULL
MU,2024-03-07,2024-03-11,99.13026785493541,96.58261997106358,-2.87,1,Stop Loss,85,0.33,BULL
ABNB,2024-03-06,2024-03-13,165.0,161.4855,-2.4299999999999997,4,Stop Loss,85,0.33,BULL
INTC,2024-03-12,2024-03-14,44.0505029236892,43.16949286521542,-2.3,1,Stop Loss,110,0.33,BULL
AMD,2024-03-13,2024-03-15,192.9199981689453,189.0615982055664,-2.3,1,Stop Loss,145,0.33,BULL
PLTR,2024-03-14,2024-03-18,23.850000381469727,23.37300037384033,-2.3,1,Stop Loss,145,0.33,BULL
CRWD,2024-03-19,2024-03-21,321.0,330.78400878906245,2.7479778159073067,1,Trailing Stop,155,0.33,BULL
PYPL,2024-03-26,2024-04-01,67.56381497539266,65.88823236400292,-2.7800000000000002,2,Stop Loss,85,0.33,BULL
BA,2024-03-28,2024-04-02,192.24000549316406,187.7031413635254,-2.66,1,Stop Loss,120,0.33,BULL
BILL,2024-03-28,2024-04-02,66.51000213623047,65.17980209350586,-2.3,1,Stop Loss,85,0.33,BULL
SHOP,2024-04-02,2024-04-04,78.27999877929688,76.71439880371094,-2.3,1,Stop Loss,110,0.33,BULL
PYPL,2024-04-03,2024-04-05,65.83779642785935,64.52104049930216,-2.3,1,Stop Loss,95,0.33,BULL
ENPH,2024-04-04,2024-04-08,113.58000183105469,115.8759979248047,1.721479183602409,1,Trailing Stop,130,0.33,BULL
RUN,2024-04-09,2024-04-11,12.029999732971191,11.789399738311767,-2.3,1,Stop Loss,140,0.33,BULL
KLAC,2024-04-12,2024-04-17,679.5124856026414,665.9222358905886,-2.3,2,Stop Loss,95,0.45,BEAR
FSLR,2024-04-18,2024-04-22,179.4199981689453,175.8315982055664,-2.3,1,Stop Loss,145,0.45,BEAR
GE,2024-04-23,2024-04-25,160.18224669493588,156.97860176103717,-2.3,1,Stop Loss,120,0.45,BEAR
KLAC,2024-05-03,2024-05-07,688.6530343883663,707.7378348133878,2.471323071562715,1,Trailing Stop,95,0.45,BEAR
LCID,2024-05-09,2024-05-13,27.100000381469727,29.980000686645507,10.327307249578674,1,Trailing Stop,125,0.33,BULL
TSM,2024-05-09,2024-05-14,143.81666003892693,147.5600861948693,2.302915514050425,2,Trailing Stop,85,0.33,BULL
NVDA,2024-05-09,2024-05-15,90.25895279926722,93.90269690500688,3.7369891215591853,3,Trailing Stop,85,0.33,BULL
TSLA,2024-05-14,2024-05-16,179.89999389648438,176.3019940185547,-2.3,1,Stop Loss,165,0.33,BULL
META,2024-05-15,2024-05-21,472.20549873568376,462.7613887609701,-2.3,3,Stop Loss,115,0.33,BULL
TSLA,2024-05-17,2024-05-21,177.55999755859375,185.01600341796873,3.8991473090184883,1,Trailing Stop,105,0.33,BULL
BA,2024-05-17,2024-05-23,184.64999389648438,179.88602405395508,-2.88,3,Stop Loss,85,0.33,BULL
RUN,2024-05-22,2024-05-24,12.949999809265137,12.690999813079834,-2.3,1,Stop Loss,140,0.33,BULL
