symbol,entry_date,exit_date,entry_price,exit_price,return_pct,rsi,accumulation,price_above_ma20,is_winner,is_loser,month
CMCSA,2025-12-15,2026-01-06,77.83351135253906,75.2300033569336,-3.344970502246958,56.188278525878644,1.9130987689026915,0.9039473042479457,False,True,2025-12
CMCSA,2025-12-16,2026-01-07,77.13723754882812,74.72000122070312,-3.133682777523478,56.15312250659362,2.0547416207292986,0.016124402036937345,False,True,2025-12
CMCSA,2025-12-22,2026-01-13,77.69425201416016,75.47000122070312,-2.862825416031614,58.26641454361511,2.00716692118485,0.5969339845441091,False,True,2025-12
CMCSA,2025-12-23,2026-01-14,77.60472869873047,74.41000366210938,-4.116662850563327,58.59272448232172,1.6469989428223,0.3659796683005227,False,True,2025-12
CMCSA,2025-12-24,2026-01-15,77.60472869873047,75.25,-3.03425930122347,56.03904263406451,1.8502748919170573,0.2563544091130936,False,True,2025-12
CMCSA,2025-12-26,2026-01-16,77.74398803710938,75.19000244140625,-3.2851229531523853,51.67780595758911,1.8721974740079357,0.30157276812388667,False,True,2025-12
TMUS,2025-10-29,2025-11-18,70.9503402709961,76.95819854736328,8.467694803745923,59.23697527997072,1.7705415463880785,2.2593687600566215,True,False,2025-10
TMUS,2025-11-04,2025-11-24,71.93507385253906,75.8342056274414,5.42034860893483,59.6819036829305,1.3459589547235165,2.280525620101872,True,False,2025-11
TMUS,2025-11-05,2025-11-25,71.71623992919922,75.91378021240234,5.852984327325419,57.891386074800046,1.3967286551335156,1.8419091146548292,True,False,2025-11
TMUS,2025-11-06,2025-11-26,70.6618881225586,75.66510772705078,7.0805065324810155,53.67840645818369,1.4447617618414685,0.2681778432442782,True,False,2025-11
TMUS,2025-11-07,2025-11-28,70.69172668457031,76.53048706054688,8.259467762089582,53.27728392108087,1.7652018485434093,0.0894314375335227,True,False,2025-11
TMUS,2025-11-10,2025-12-01,71.70629119873047,75.63526916503906,5.4792653484470755,56.82821322168692,1.8235736502722764,1.1959849384695256,True,False,2025-11
TMUS,2025-11-11,2025-12-02,71.32831573486328,76.46085357666016,7.195652650589973,54.541321158938416,1.4224787481380599,0.447535770557015,True,False,2025-11
TMUS,2025-11-20,2025-12-11,75.03846740722656,78.84807586669922,5.076874023556846,59.455236085926515,1.799831038011348,2.2852870526815496,True,False,2025-11
TMUS,2025-12-01,2025-12-19,75.63526916503906,78.00260162353516,3.1299319545362936,57.327299532804595,1.5538387438082655,1.3319435990745667,True,False,2025-12
TMUS,2025-12-12,2026-01-05,77.38591003417969,75.58000183105469,-2.333639550568533,56.13081080417535,1.4257654864612839,0.33984742518072497,False,True,2025-12
TMUS,2025-12-15,2026-01-06,77.83351135253906,75.2300033569336,-3.344970502246958,56.188278525878644,1.9130987689026915,0.9039473042479457,False,True,2025-12
TMUS,2025-12-16,2026-01-07,77.13723754882812,74.72000122070312,-3.133682777523478,56.15312250659362,2.0547416207292986,0.016124402036937345,False,True,2025-12
TMUS,2025-12-22,2026-01-13,77.69425201416016,75.47000122070312,-2.862825416031614,58.26641454361511,2.00716692118485,0.5969339845441091,False,True,2025-12
TMUS,2025-12-23,2026-01-14,77.60472869873047,74.41000366210938,-4.116662850563327,58.59272448232172,1.6469989428223,0.3659796683005227,False,True,2025-12
TMUS,2025-12-24,2026-01-15,77.60472869873047,75.25,-3.03425930122347,56.03904263406451,1.8502748919170573,0.2563544091130936,False,True,2025-12
TMUS,2025-12-26,2026-01-16,77.74398803710938,75.19000244140625,-3.2851229531523853,51.67780595758911,1.8721974740079357,0.30157276812388667,False,True,2025-12
NFLX,2025-10-29,2025-11-18,70.9503402709961,76.95819854736328,8.467694803745923,59.23697527997072,1.7705415463880785,2.2593687600566215,True,False,2025-10
NFLX,2025-11-04,2025-11-24,71.93507385253906,75.8342056274414,5.42034860893483,59.6819036829305,1.3459589547235165,2.280525620101872,True,False,2025-11
NFLX,2025-11-05,2025-11-25,71.71623992919922,75.91378021240234,5.852984327325419,57.891386074800046,1.3967286551335156,1.8419091146548292,True,False,2025-11
NFLX,2025-11-06,2025-11-26,70.6618881225586,75.66510772705078,7.0805065324810155,53.67840645818369,1.4447617618414685,0.2681778432442782,True,False,2025-11
NFLX,2025-11-07,2025-11-28,70.69172668457031,76.53048706054688,8.259467762089582,53.27728392108087,1.7652018485434093,0.0894314375335227,True,False,2025-11
NFLX,2025-11-10,2025-12-01,71.70629119873047,75.63526916503906,5.4792653484470755,56.82821322168692,1.8235736502722764,1.1959849384695256,True,False,2025-11
NFLX,2025-11-11,2025-12-02,71.32831573486328,76.46085357666016,7.195652650589973,54.541321158938416,1.4224787481380599,0.447535770557015,True,False,2025-11
NFLX,2025-11-20,2025-12-11,75.03846740722656,78.84807586669922,5.076874023556846,59.455236085926515,1.799831038011348,2.2852870526815496,True,False,2025-11
NFLX,2025-12-01,2025-12-19,75.63526916503906,78.00260162353516,3.1299319545362936,57.327299532804595,1.5538387438082655,1.3319435990745667,True,False,2025-12
NFLX,2025-12-12,2026-01-05,77.38591003417969,75.58000183105469,-2.333639550568533,56.13081080417535,1.4257654864612839,0.33984742518072497,False,True,2025-12
NFLX,2025-12-15,2026-01-06,77.83351135253906,75.2300033569336,-3.344970502246958,56.188278525878644,1.9130987689026915,0.9039473042479457,False,True,2025-12
NFLX,2025-12-16,2026-01-07,77.13723754882812,74.72000122070312,-3.133682777523478,56.15312250659362,2.0547416207292986,0.016124402036937345,False,True,2025-12
EOG,2025-10-29,2025-11-18,70.9503402709961,76.95819854736328,8.467694803745923,59.23697527997072,1.7705415463880785,2.2593687600566215,True,False,2025-10
EOG,2025-11-04,2025-11-24,71.93507385253906,75.8342056274414,5.42034860893483,59.6819036829305,1.3459589547235165,2.280525620101872,True,False,2025-11
EOG,2025-11-05,2025-11-25,71.71623992919922,75.91378021240234,5.852984327325419,57.891386074800046,1.3967286551335156,1.8419091146548292,True,False,2025-11
EOG,2025-11-06,2025-11-26,70.6618881225586,75.66510772705078,7.0805065324810155,53.67840645818369,1.4447617618414685,0.2681778432442782,True,False,2025-11
EOG,2025-11-07,2025-11-28,70.69172668457031,76.53048706054688,8.259467762089582,53.27728392108087,1.7652018485434093,0.0894314375335227,True,False,2025-11
EOG,2025-11-10,2025-12-01,71.70629119873047,75.63526916503906,5.4792653484470755,56.82821322168692,1.8235736502722764,1.1959849384695256,True,False,2025-11
EOG,2025-11-11,2025-12-02,71.32831573486328,76.46085357666016,7.195652650589973,54.541321158938416,1.4224787481380599,0.447535770557015,True,False,2025-11
EOG,2025-11-20,2025-12-11,75.03846740722656,78.84807586669922,5.076874023556846,59.455236085926515,1.799831038011348,2.2852870526815496,True,False,2025-11
EOG,2025-12-01,2025-12-19,75.63526916503906,78.00260162353516,3.1299319545362936,57.327299532804595,1.5538387438082655,1.3319435990745667,True,False,2025-12
EOG,2025-12-12,2026-01-05,77.38591003417969,75.58000183105469,-2.333639550568533,56.13081080417535,1.4257654864612839,0.33984742518072497,False,True,2025-12
EOG,2025-12-15,2026-01-06,77.83351135253906,75.2300033569336,-3.344970502246958,56.188278525878644,1.9130987689026915,0.9039473042479457,False,True,2025-12
EOG,2025-12-16,2026-01-07,77.13723754882812,74.72000122070312,-3.133682777523478,56.15312250659362,2.0547416207292986,0.016124402036937345,False,True,2025-12
EOG,2025-12-22,2026-01-13,77.69425201416016,75.47000122070312,-2.862825416031614,58.26641454361511,2.00716692118485,0.5969339845441091,False,True,2025-12
EOG,2025-12-23,2026-01-14,77.60472869873047,74.41000366210938,-4.116662850563327,58.59272448232172,1.6469989428223,0.3659796683005227,False,True,2025-12
EOG,2025-12-24,2026-01-15,77.60472869873047,75.25,-3.03425930122347,56.03904263406451,1.8502748919170573,0.2563544091130936,False,True,2025-12
EOG,2025-12-26,2026-01-16,77.74398803710938,75.19000244140625,-3.2851229531523853,51.67780595758911,1.8721974740079357,0.30157276812388667,False,True,2025-12
LLY,2025-11-06,2025-11-26,1204.3792724609375,1159.0699462890625,-3.762047986702175,58.162647293769695,1.5602506625715207,4.8673254590824335,False,True,2025-11
LLY,2025-12-09,2025-12-30,1225.6099853515625,1243.6500244140625,1.4719233098713103,58.22657911225872,1.4500297827156656,4.97473561758547,True,False,2025-12
LLY,2025-12-10,2025-12-31,1238.9100341796875,1215.0799560546875,-1.9234712341948603,58.29483851770006,1.4354362520394686,5.887143147235296,False,True,2025-12
LLY,2025-12-12,2026-01-05,1193.9200439453125,1352.449951171875,13.278100826810807,48.98223644639866,1.9309790299755565,1.6797061597230907,True,False,2025-12
LLY,2025-12-15,2026-01-06,1225.1099853515625,1395.0,13.867327560772855,53.451441003713285,1.9200276598481925,3.925794126140291,True,False,2025-12
LLY,2025-12-16,2026-01-07,1223.3699951171875,1359.68994140625,11.142985918663497,54.14424268863447,2.0578248879696655,3.3849824614221187,True,False,2025-12
LLY,2025-12-18,2026-01-09,1222.3900146484375,1400.0,14.529731364227775,52.358581883463444,2.1710348310755965,2.850802785361829,True,False,2025-12
LLY,2025-12-19,2026-01-12,1245.6700439453125,1428.1700439453125,14.650749681832448,56.13421445593809,3.456850566313482,4.181846622348023,True,False,2025-12
LLY,2025-12-22,2026-01-13,1265.6600341796875,1441.8199462890625,13.9184225899611,57.51779882636334,3.2193399098769944,5.1128840117464325,True,False,2025-12
LLY,2025-12-23,2026-01-14,1268.75,1434.5,13.064039408866995,59.192821704963855,3.135671659968335,4.795006238058463,True,False,2025-12
LLY,2025-12-24,2026-01-15,1276.989990234375,1544.9599609375,20.98450048570409,59.72110204177905,2.9127024722932653,4.90761060038498,True,False,2025-12
LLY,2025-12-30,2026-01-21,1243.6500244140625,1520.0,22.220879681656257,56.492312395056985,2.4220291008801027,0.9580743909888306,True,False,2025-12
LLY,2026-01-02,2026-01-23,1274.469970703125,1512.780029296875,18.698758234552546,58.88322143969348,2.47901513440253,3.092022167505419,True,False,2026-01
AMGN,2025-10-29,2025-11-18,177.76170349121094,164.22088623046875,-7.61739845804959,59.846493534151264,1.653325143024383,6.204530768387426,False,True,2025-10
AMGN,2025-10-30,2025-11-19,176.35885620117188,165.2655487060547,-6.290190203129405,58.44240979670805,1.4677248038377,5.10368450767261,False,True,2025-10
AMGN,2025-11-03,2025-11-21,179.80128479003906,162.46983337402344,-9.639225568523736,59.896171983476364,1.6829009213292678,6.4038415218372,False,True,2025-11
AMGN,2025-11-04,2025-11-24,171.96133422851562,164.22088623046875,-4.50127235449381,48.75603882874566,1.411102581549395,1.543658214181558,False,True,2025-11
AMGN,2025-11-05,2025-11-25,178.80636596679688,162.46983337402344,-9.136437902779715,56.49389615787247,1.708500013507588,5.216326156286236,False,True,2025-11
AMGN,2025-11-06,2025-11-26,172.3195037841797,164.30047607421875,-4.653581013095483,49.77017339307369,1.702025602355077,1.1759065359768879,False,True,2025-11
AMGN,2025-11-11,2025-12-02,173.0955352783203,169.83221435546875,-1.8852715742231414,51.444712640433266,1.6776944792273394,0.4773195459492455,False,True,2025-11
AMGN,2025-11-12,2025-12-03,175.77186584472656,174.1800079345703,-0.9056386256731587,53.34374865236436,1.7091421624835867,1.6288112805815973,False,True,2025-11
AMGN,2025-11-13,2025-12-04,173.61289978027344,174.35000610351562,0.4245688679672294,50.83111553838699,1.6314499693919458,0.08058241279252447,True,False,2025-11
AMGN,2025-12-05,2025-12-26,174.80999755859375,174.80999755859375,0.0,58.39681670193511,1.5877918611388413,3.698133222826726,False,False,2025-12
AMGN,2025-12-08,2025-12-29,175.30999755859375,173.42999267578125,-1.0723888591602697,51.483611954624,1.535215961572859,3.8318594084727264,False,True,2025-12
AMGN,2025-12-09,2025-12-30,176.0,173.64999389648438,-1.3352307406338777,55.49255260235561,1.5245145775781546,4.077111078610387,False,True,2025-12
AMGN,2025-12-12,2026-01-05,178.2899932861328,176.30999755859375,-1.1105478726231264,54.74393506185121,1.6165117528053219,4.833379652396045,False,True,2025-12
