symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,days_held,exit_reason,score
DE,2023-02-27,2023-03-09,404.4675390704374,412.9828204458369,2.1053064962814236,7,Trailing Stop,90
ROKU,2023-03-02,2023-03-06,64.33999633789062,67.17999877929688,4.414054403254205,1,Trailing Stop,155
NVDA,2023-03-02,2023-03-06,23.296676418290033,24.038333221324105,3.18353051618901,1,Trailing Stop,115
COIN,2023-03-03,2023-03-07,64.5999984741211,63.04313851089478,-2.41,1,Stop Loss,95
COIN,2023-03-08,2023-03-10,62.38999938964844,61.142199401855464,-2.0,1,Stop Loss,165
ROKU,2023-03-08,2023-03-10,64.25,62.964999999999996,-2.0,1,Stop Loss,160
AMAT,2023-03-08,2023-03-10,115.80288921347211,113.48683142920267,-2.0,1,Stop Loss,115
CRWD,2023-03-13,2023-03-15,124.87999725341797,129.1280014038086,3.401668997293619,1,Trailing Stop,150
CRM,2023-03-13,2023-03-16,177.83921229306586,183.88574597952297,3.4000002634362043,2,Trailing Stop,145
ENPH,2023-03-13,2023-03-15,216.58999633789062,212.25819641113281,-2.0,1,Stop Loss,140
FSLR,2023-03-16,2023-03-20,205.69000244140625,201.57620239257812,-2.0,1,Stop Loss,115
GE,2023-03-16,2023-03-29,72.21283110375948,73.86808902580655,2.2921936403084686,8,Trailing Stop,95
TSM,2023-03-16,2023-03-21,85.43970894490646,88.46357629067049,3.539182638969303,2,Trailing Stop,85
FSLR,2023-03-20,2023-03-23,208.60000610351562,216.27999877929688,3.681683821222005,2,Trailing Stop,120
META,2023-03-20,2023-03-28,201.7904236343113,197.75461516162508,-2.0,5,Stop Loss,90
LRCX,2023-03-20,2023-03-23,50.280172346955794,51.49560323205323,2.417316465644576,2,Trailing Stop,85
AMZN,2023-03-21,2023-03-24,100.44999694824219,97.26573204498291,-3.17,2,Stop Loss,85
NOW,2023-03-21,2023-03-24,89.43599700927734,87.05699948883057,-2.66,2,Stop Loss,85
PATH,2023-03-23,2023-03-27,16.469999313354492,16.1405993270874,-2.0,1,Stop Loss,155
INTC,2023-03-23,2023-03-29,28.343835708876163,30.569178607476868,7.851241170946441,3,Trailing Stop,125
GE,2023-03-23,2023-03-27,71.25302808916034,73.18521467491945,2.7117255751451412,1,Trailing Stop,110
COIN,2023-03-24,2023-03-28,67.19999694824219,65.85599700927735,-2.0,1,Stop Loss,175
PATH,2023-03-27,2023-03-29,16.010000228881836,15.689800224304198,-2.0,1,Stop Loss,150
SMCI,2023-03-29,2023-03-31,10.732000350952148,10.517360343933106,-2.0,1,Stop Loss,175
AMD,2023-03-29,2023-03-31,98.0,96.03999999999999,-2.0,1,Stop Loss,125
CRWD,2023-03-29,2023-03-31,131.1300048828125,136.81800537109373,4.3376803755665625,1,Trailing Stop,105
SMCI,2023-03-31,2023-04-04,10.656999588012695,11.496999740600588,7.882144928791675,1,Trailing Stop,145
QCOM,2023-04-05,2023-04-13,114.98730599059633,112.6875598707844,-2.0,4,Stop Loss,90
ROKU,2023-04-06,2023-04-11,63.040000915527344,64.59200286865234,2.4619319964868964,1,Trailing Stop,145
PATH,2023-04-06,2023-04-11,16.190000534057617,16.67799949645996,3.0141997918763446,1,Trailing Stop,145
BILL,2023-04-06,2023-04-11,73.62999725341797,76.74999847412109,4.2374050483320955,1,Trailing Stop,125
RUN,2023-04-10,2023-04-12,19.18000030517578,20.227999877929687,5.464022711569508,1,Trailing Stop,145
SMCI,2023-04-10,2023-04-12,10.737000465393066,10.99060001373291,2.3619217411532465,1,Trailing Stop,125
RIVN,2023-04-10,2023-04-12,14.979999542236328,14.680399551391602,-2.0,1,Stop Loss,125
S,2023-04-11,2023-04-13,16.93000030517578,17.722000122070312,4.67808507157796,1,Trailing Stop,90
RIVN,2023-04-13,2023-04-17,13.862000465393066,13.584760456085204,-2.0,1,Stop Loss,115
LCID,2023-04-13,2023-04-17,76.69999694824219,79.06000061035155,3.076927973937097,1,Trailing Stop,115
BILL,2023-04-13,2023-04-17,76.02999877929688,77.60599975585937,2.0728672916823,1,Trailing Stop,110
NOW,2023-04-17,2023-04-20,95.6259994506836,93.71347946166992,-2.0,2,Stop Loss,110
MU,2023-04-20,2023-04-24,60.39523424632037,59.18732956139396,-2.0,1,Stop Loss,130
NET,2023-04-20,2023-04-24,62.540000915527344,63.86719818115234,2.122157413169275,1,Trailing Stop,115
S,2023-04-20,2023-04-24,18.06999969482422,17.658003701782224,-2.28,1,Stop Loss,100
CFLT,2023-04-21,2023-04-25,24.489999771118164,24.0001997756958,-2.0,1,Stop Loss,145
SNOW,2023-04-21,2023-04-25,144.85000610351562,141.9530059814453,-2.0,1,Stop Loss,125
FSLR,2023-04-21,2023-04-25,209.50999450683594,205.31979461669923,-2.0,1,Stop Loss,105
BILL,2023-05-01,2023-05-03,76.66999816894531,80.36200256347657,4.815448653586476,1,Trailing Stop,90
AMZN,2023-05-02,2023-05-09,103.73999786376953,106.1800003051758,2.3520363328043,4,Trailing Stop,115
BILL,2023-05-03,2023-05-05,79.97000122070312,95.90599975585937,19.927470666376124,1,Trailing Stop,115
SNOW,2023-05-03,2023-05-05,148.97999572753906,157.03600158691407,5.407441327967395,1,Trailing Stop,95
META,2023-05-05,2023-05-11,229.81466736120282,235.20898843056597,2.3472483855370365,3,Trailing Stop,100
LRCX,2023-05-10,2023-05-15,51.398722503247946,53.27010483267176,3.6409121438875487,2,Trailing Stop,85
KLAC,2023-05-10,2023-05-15,375.8924163301159,391.64678070035956,4.19118973563113,2,Trailing Stop,85
MU,2023-05-11,2023-05-15,61.22486836313111,63.500429599835,3.7167270384434334,1,Trailing Stop,85
DXCM,2023-05-12,2023-05-16,121.75,119.315,-2.0,1,Stop Loss,95
MRVL,2023-05-12,2023-05-16,39.947505974311106,41.524407095185104,3.9474332187046928,1,Trailing Stop,90
RIVN,2023-05-15,2023-05-18,13.220000267028809,13.49200038909912,2.0574895353723273,2,Trailing Stop,155
COIN,2023-05-15,2023-05-17,58.68000030517578,60.78400115966797,3.5855501764655093,1,Trailing Stop,125
AMD,2023-05-15,2023-05-17,97.38999938964844,102.78999938964843,5.544717151496313,1,Trailing Stop,100
RIVN,2023-05-17,2023-05-19,13.399999618530273,14.120000076293946,5.373137897466921,1,Trailing Stop,145
UBER,2023-05-17,2023-05-19,37.97999954223633,39.188001251220705,3.1806259177043876,1,Trailing Stop,110
CHWY,2023-05-17,2023-05-19,33.84000015258789,33.16320014953613,-2.0,1,Stop Loss,95
SHOP,2023-05-24,2023-05-26,59.470001220703125,58.28060119628906,-2.0,1,Stop Loss,145
SNOW,2023-05-24,2023-05-26,150.47000122070312,147.46060119628905,-2.0,1,Stop Loss,110
BILL,2023-05-24,2023-05-26,99.77999877929688,97.78439880371094,-2.0,1,Stop Loss,105
FSLR,2023-05-25,2023-05-30,201.0399932861328,208.51200256347656,3.716678037642544,1,Trailing Stop,115
SHOP,2023-05-26,2023-05-31,60.599998474121094,59.387998504638674,-2.0,1,Stop Loss,155
